# context	pack	rule	command
simple	core.git	git-push-force	git push --force origin main-1
compound	core.git	git-push-force	echo start-1 && git push --force origin main-1
subshell	core.git	git-push-force	(git push --force origin main-1)
pipeline	core.git	git-push-force	echo start-1 | git push --force origin main-1
inline	core.git	git-push-force	bash -c 'git push --force origin main-1'
simple	core.git	git-push-force	git push --force origin main-2
compound	core.git	git-push-force	echo start-2 && git push --force origin main-2
subshell	core.git	git-push-force	(git push --force origin main-2)
pipeline	core.git	git-push-force	echo start-2 | git push --force origin main-2
inline	core.git	git-push-force	bash -c 'git push --force origin main-2'
simple	core.git	git-push-force	git push --force origin main-3
compound	core.git	git-push-force	echo start-3 && git push --force origin main-3
subshell	core.git	git-push-force	(git push --force origin main-3)
pipeline	core.git	git-push-force	echo start-3 | git push --force origin main-3
inline	core.git	git-push-force	bash -c 'git push --force origin main-3'
simple	core.git	git-push-force	git push --force origin main-4
compound	core.git	git-push-force	echo start-4 && git push --force origin main-4
subshell	core.git	git-push-force	(git push --force origin main-4)
pipeline	core.git	git-push-force	echo start-4 | git push --force origin main-4
inline	core.git	git-push-force	bash -c 'git push --force origin main-4'
simple	core.git	git-push-force	git push --force origin main-5
compound	core.git	git-push-force	echo start-5 && git push --force origin main-5
subshell	core.git	git-push-force	(git push --force origin main-5)
pipeline	core.git	git-push-force	echo start-5 | git push --force origin main-5
inline	core.git	git-push-force	bash -c 'git push --force origin main-5'
simple	core.git	git-push-force	git push --force origin main-6
compound	core.git	git-push-force	echo start-6 && git push --force origin main-6
subshell	core.git	git-push-force	(git push --force origin main-6)
pipeline	core.git	git-push-force	echo start-6 | git push --force origin main-6
inline	core.git	git-push-force	bash -c 'git push --force origin main-6'
simple	core.git	git-push-force	git push --force origin main-7
compound	core.git	git-push-force	echo start-7 && git push --force origin main-7
subshell	core.git	git-push-force	(git push --force origin main-7)
pipeline	core.git	git-push-force	echo start-7 | git push --force origin main-7
inline	core.git	git-push-force	bash -c 'git push --force origin main-7'
simple	core.git	git-push-force	git push --force origin main-8
compound	core.git	git-push-force	echo start-8 && git push --force origin main-8
subshell	core.git	git-push-force	(git push --force origin main-8)
pipeline	core.git	git-push-force	echo start-8 | git push --force origin main-8
inline	core.git	git-push-force	bash -c 'git push --force origin main-8'
simple	core.git	git-push-force	git push --force origin main-9
compound	core.git	git-push-force	echo start-9 && git push --force origin main-9
subshell	core.git	git-push-force	(git push --force origin main-9)
pipeline	core.git	git-push-force	echo start-9 | git push --force origin main-9
inline	core.git	git-push-force	bash -c 'git push --force origin main-9'
simple	core.git	git-push-force	git push --force origin main-10
compound	core.git	git-push-force	echo start-10 && git push --force origin main-10
subshell	core.git	git-push-force	(git push --force origin main-10)
pipeline	core.git	git-push-force	echo start-10 | git push --force origin main-10
inline	core.git	git-push-force	bash -c 'git push --force origin main-10'
simple	core.git	git-push-force	git push --force origin main-11
compound	core.git	git-push-force	echo start-11 && git push --force origin main-11
subshell	core.git	git-push-force	(git push --force origin main-11)
pipeline	core.git	git-push-force	echo start-11 | git push --force origin main-11
inline	core.git	git-push-force	bash -c 'git push --force origin main-11'
simple	core.git	git-push-force	git push --force origin main-12
compound	core.git	git-push-force	echo start-12 && git push --force origin main-12
subshell	core.git	git-push-force	(git push --force origin main-12)
pipeline	core.git	git-push-force	echo start-12 | git push --force origin main-12
inline	core.git	git-push-force	bash -c 'git push --force origin main-12'
simple	core.git	git-push-force	git push --force origin main-13
compound	core.git	git-push-force	echo start-13 && git push --force origin main-13
subshell	core.git	git-push-force	(git push --force origin main-13)
pipeline	core.git	git-push-force	echo start-13 | git push --force origin main-13
inline	core.git	git-push-force	bash -c 'git push --force origin main-13'
simple	core.git	git-push-force	git push --force origin main-14
compound	core.git	git-push-force	echo start-14 && git push --force origin main-14
subshell	core.git	git-push-force	(git push --force origin main-14)
pipeline	core.git	git-push-force	echo start-14 | git push --force origin main-14
inline	core.git	git-push-force	bash -c 'git push --force origin main-14'
simple	core.git	git-push-force	git push --force origin main-15
compound	core.git	git-push-force	echo start-15 && git push --force origin main-15
subshell	core.git	git-push-force	(git push --force origin main-15)
pipeline	core.git	git-push-force	echo start-15 | git push --force origin main-15
inline	core.git	git-push-force	bash -c 'git push --force origin main-15'
simple	core.git	git-push-force	git push --force origin main-16
compound	core.git	git-push-force	echo start-16 && git push --force origin main-16
subshell	core.git	git-push-force	(git push --force origin main-16)
pipeline	core.git	git-push-force	echo start-16 | git push --force origin main-16
inline	core.git	git-push-force	bash -c 'git push --force origin main-16'
simple	core.git	git-push-force	git push --force origin main-17
compound	core.git	git-push-force	echo start-17 && git push --force origin main-17
subshell	core.git	git-push-force	(git push --force origin main-17)
pipeline	core.git	git-push-force	echo start-17 | git push --force origin main-17
inline	core.git	git-push-force	bash -c 'git push --force origin main-17'
simple	core.git	git-push-force	git push --force origin main-18
compound	core.git	git-push-force	echo start-18 && git push --force origin main-18
subshell	core.git	git-push-force	(git push --force origin main-18)
pipeline	core.git	git-push-force	echo start-18 | git push --force origin main-18
inline	core.git	git-push-force	bash -c 'git push --force origin main-18'
simple	core.git	git-push-force	git push --force origin main-19
compound	core.git	git-push-force	echo start-19 && git push --force origin main-19
subshell	core.git	git-push-force	(git push --force origin main-19)
pipeline	core.git	git-push-force	echo start-19 | git push --force origin main-19
inline	core.git	git-push-force	bash -c 'git push --force origin main-19'
simple	core.git	git-push-force	git push --force origin main-20
compound	core.git	git-push-force	echo start-20 && git push --force origin main-20
subshell	core.git	git-push-force	(git push --force origin main-20)
pipeline	core.git	git-push-force	echo start-20 | git push --force origin main-20
inline	core.git	git-push-force	bash -c 'git push --force origin main-20'
simple	core.git	git-push-force	git push --force origin main-21
compound	core.git	git-push-force	echo start-21 && git push --force origin main-21
subshell	core.git	git-push-force	(git push --force origin main-21)
pipeline	core.git	git-push-force	echo start-21 | git push --force origin main-21
inline	core.git	git-push-force	bash -c 'git push --force origin main-21'
simple	core.git	git-push-force	git push --force origin main-22
compound	core.git	git-push-force	echo start-22 && git push --force origin main-22
subshell	core.git	git-push-force	(git push --force origin main-22)
pipeline	core.git	git-push-force	echo start-22 | git push --force origin main-22
inline	core.git	git-push-force	bash -c 'git push --force origin main-22'
simple	core.git	git-push-force	git push --force origin main-23
compound	core.git	git-push-force	echo start-23 && git push --force origin main-23
subshell	core.git	git-push-force	(git push --force origin main-23)
pipeline	core.git	git-push-force	echo start-23 | git push --force origin main-23
inline	core.git	git-push-force	bash -c 'git push --force origin main-23'
simple	core.git	git-push-force	git push --force origin main-24
compound	core.git	git-push-force	echo start-24 && git push --force origin main-24
subshell	core.git	git-push-force	(git push --force origin main-24)
pipeline	core.git	git-push-force	echo start-24 | git push --force origin main-24
inline	core.git	git-push-force	bash -c 'git push --force origin main-24'
simple	core.git	git-push-force	git push --force origin main-25
compound	core.git	git-push-force	echo start-25 && git push --force origin main-25
subshell	core.git	git-push-force	(git push --force origin main-25)
pipeline	core.git	git-push-force	echo start-25 | git push --force origin main-25
inline	core.git	git-push-force	bash -c 'git push --force origin main-25'
simple	core.git	git-push-force	git push --force origin main-26
compound	core.git	git-push-force	echo start-26 && git push --force origin main-26
subshell	core.git	git-push-force	(git push --force origin main-26)
pipeline	core.git	git-push-force	echo start-26 | git push --force origin main-26
inline	core.git	git-push-force	bash -c 'git push --force origin main-26'
simple	core.git	git-push-force	git push --force origin main-27
compound	core.git	git-push-force	echo start-27 && git push --force origin main-27
subshell	core.git	git-push-force	(git push --force origin main-27)
pipeline	core.git	git-push-force	echo start-27 | git push --force origin main-27
inline	core.git	git-push-force	bash -c 'git push --force origin main-27'
simple	core.git	git-push-force	git push --force origin main-28
compound	core.git	git-push-force	echo start-28 && git push --force origin main-28
subshell	core.git	git-push-force	(git push --force origin main-28)
pipeline	core.git	git-push-force	echo start-28 | git push --force origin main-28
inline	core.git	git-push-force	bash -c 'git push --force origin main-28'
simple	core.git	git-push-force	git push --force origin main-29
compound	core.git	git-push-force	echo start-29 && git push --force origin main-29
subshell	core.git	git-push-force	(git push --force origin main-29)
pipeline	core.git	git-push-force	echo start-29 | git push --force origin main-29
inline	core.git	git-push-force	bash -c 'git push --force origin main-29'
simple	core.git	git-push-force	git push --force origin main-30
compound	core.git	git-push-force	echo start-30 && git push --force origin main-30
subshell	core.git	git-push-force	(git push --force origin main-30)
pipeline	core.git	git-push-force	echo start-30 | git push --force origin main-30
inline	core.git	git-push-force	bash -c 'git push --force origin main-30'
simple	core.git	git-push-force	git push --force origin main-31
compound	core.git	git-push-force	echo start-31 && git push --force origin main-31
subshell	core.git	git-push-force	(git push --force origin main-31)
pipeline	core.git	git-push-force	echo start-31 | git push --force origin main-31
inline	core.git	git-push-force	bash -c 'git push --force origin main-31'
simple	core.git	git-push-force	git push --force origin main-32
compound	core.git	git-push-force	echo start-32 && git push --force origin main-32
subshell	core.git	git-push-force	(git push --force origin main-32)
pipeline	core.git	git-push-force	echo start-32 | git push --force origin main-32
inline	core.git	git-push-force	bash -c 'git push --force origin main-32'
simple	core.git	git-push-force	git push --force origin main-33
compound	core.git	git-push-force	echo start-33 && git push --force origin main-33
subshell	core.git	git-push-force	(git push --force origin main-33)
pipeline	core.git	git-push-force	echo start-33 | git push --force origin main-33
inline	core.git	git-push-force	bash -c 'git push --force origin main-33'
simple	core.git	git-push-force	git push --force origin main-34
compound	core.git	git-push-force	echo start-34 && git push --force origin main-34
subshell	core.git	git-push-force	(git push --force origin main-34)
pipeline	core.git	git-push-force	echo start-34 | git push --force origin main-34
inline	core.git	git-push-force	bash -c 'git push --force origin main-34'
simple	core.git	git-push-force	git push --force origin main-35
compound	core.git	git-push-force	echo start-35 && git push --force origin main-35
subshell	core.git	git-push-force	(git push --force origin main-35)
pipeline	core.git	git-push-force	echo start-35 | git push --force origin main-35
inline	core.git	git-push-force	bash -c 'git push --force origin main-35'
simple	core.git	git-push-force	git push --force origin main-36
compound	core.git	git-push-force	echo start-36 && git push --force origin main-36
subshell	core.git	git-push-force	(git push --force origin main-36)
pipeline	core.git	git-push-force	echo start-36 | git push --force origin main-36
inline	core.git	git-push-force	bash -c 'git push --force origin main-36'
simple	core.git	git-push-force	git push --force origin main-37
compound	core.git	git-push-force	echo start-37 && git push --force origin main-37
subshell	core.git	git-push-force	(git push --force origin main-37)
pipeline	core.git	git-push-force	echo start-37 | git push --force origin main-37
inline	core.git	git-push-force	bash -c 'git push --force origin main-37'
simple	core.git	git-push-force	git push --force origin main-38
compound	core.git	git-push-force	echo start-38 && git push --force origin main-38
subshell	core.git	git-push-force	(git push --force origin main-38)
pipeline	core.git	git-push-force	echo start-38 | git push --force origin main-38
inline	core.git	git-push-force	bash -c 'git push --force origin main-38'
simple	core.git	git-push-force	git push --force origin main-39
compound	core.git	git-push-force	echo start-39 && git push --force origin main-39
subshell	core.git	git-push-force	(git push --force origin main-39)
pipeline	core.git	git-push-force	echo start-39 | git push --force origin main-39
inline	core.git	git-push-force	bash -c 'git push --force origin main-39'
simple	core.git	git-push-force	git push --force origin main-40
compound	core.git	git-push-force	echo start-40 && git push --force origin main-40
subshell	core.git	git-push-force	(git push --force origin main-40)
pipeline	core.git	git-push-force	echo start-40 | git push --force origin main-40
inline	core.git	git-push-force	bash -c 'git push --force origin main-40'
simple	core.git	git-push-force	git push --force origin main-41
compound	core.git	git-push-force	echo start-41 && git push --force origin main-41
subshell	core.git	git-push-force	(git push --force origin main-41)
pipeline	core.git	git-push-force	echo start-41 | git push --force origin main-41
inline	core.git	git-push-force	bash -c 'git push --force origin main-41'
simple	core.git	git-push-force	git push --force origin main-42
compound	core.git	git-push-force	echo start-42 && git push --force origin main-42
subshell	core.git	git-push-force	(git push --force origin main-42)
pipeline	core.git	git-push-force	echo start-42 | git push --force origin main-42
inline	core.git	git-push-force	bash -c 'git push --force origin main-42'
simple	core.git	git-push-force	git push --force origin main-43
compound	core.git	git-push-force	echo start-43 && git push --force origin main-43
subshell	core.git	git-push-force	(git push --force origin main-43)
pipeline	core.git	git-push-force	echo start-43 | git push --force origin main-43
inline	core.git	git-push-force	bash -c 'git push --force origin main-43'
simple	core.git	git-push-force	git push --force origin main-44
compound	core.git	git-push-force	echo start-44 && git push --force origin main-44
subshell	core.git	git-push-force	(git push --force origin main-44)
pipeline	core.git	git-push-force	echo start-44 | git push --force origin main-44
inline	core.git	git-push-force	bash -c 'git push --force origin main-44'
simple	core.git	git-push-force	git push --force origin main-45
compound	core.git	git-push-force	echo start-45 && git push --force origin main-45
subshell	core.git	git-push-force	(git push --force origin main-45)
pipeline	core.git	git-push-force	echo start-45 | git push --force origin main-45
inline	core.git	git-push-force	bash -c 'git push --force origin main-45'
simple	core.git	git-push-force	git push --force origin main-46
compound	core.git	git-push-force	echo start-46 && git push --force origin main-46
subshell	core.git	git-push-force	(git push --force origin main-46)
pipeline	core.git	git-push-force	echo start-46 | git push --force origin main-46
inline	core.git	git-push-force	bash -c 'git push --force origin main-46'
simple	core.git	git-push-force	git push --force origin main-47
compound	core.git	git-push-force	echo start-47 && git push --force origin main-47
subshell	core.git	git-push-force	(git push --force origin main-47)
pipeline	core.git	git-push-force	echo start-47 | git push --force origin main-47
inline	core.git	git-push-force	bash -c 'git push --force origin main-47'
simple	core.git	git-push-force	git push --force origin main-48
compound	core.git	git-push-force	echo start-48 && git push --force origin main-48
subshell	core.git	git-push-force	(git push --force origin main-48)
pipeline	core.git	git-push-force	echo start-48 | git push --force origin main-48
inline	core.git	git-push-force	bash -c 'git push --force origin main-48'
simple	core.git	git-push-force	git push --force origin main-49
compound	core.git	git-push-force	echo start-49 && git push --force origin main-49
subshell	core.git	git-push-force	(git push --force origin main-49)
pipeline	core.git	git-push-force	echo start-49 | git push --force origin main-49
inline	core.git	git-push-force	bash -c 'git push --force origin main-49'
simple	core.git	git-push-force	git push --force origin main-50
compound	core.git	git-push-force	echo start-50 && git push --force origin main-50
subshell	core.git	git-push-force	(git push --force origin main-50)
pipeline	core.git	git-push-force	echo start-50 | git push --force origin main-50
inline	core.git	git-push-force	bash -c 'git push --force origin main-50'
simple	core.git	git-push-force	git push --force origin main-51
compound	core.git	git-push-force	echo start-51 && git push --force origin main-51
subshell	core.git	git-push-force	(git push --force origin main-51)
pipeline	core.git	git-push-force	echo start-51 | git push --force origin main-51
inline	core.git	git-push-force	bash -c 'git push --force origin main-51'
simple	core.git	git-push-force	git push --force origin main-52
compound	core.git	git-push-force	echo start-52 && git push --force origin main-52
subshell	core.git	git-push-force	(git push --force origin main-52)
pipeline	core.git	git-push-force	echo start-52 | git push --force origin main-52
inline	core.git	git-push-force	bash -c 'git push --force origin main-52'
simple	core.git	git-push-force	git push --force origin main-53
compound	core.git	git-push-force	echo start-53 && git push --force origin main-53
subshell	core.git	git-push-force	(git push --force origin main-53)
pipeline	core.git	git-push-force	echo start-53 | git push --force origin main-53
inline	core.git	git-push-force	bash -c 'git push --force origin main-53'
simple	core.git	git-push-force	git push --force origin main-54
compound	core.git	git-push-force	echo start-54 && git push --force origin main-54
subshell	core.git	git-push-force	(git push --force origin main-54)
pipeline	core.git	git-push-force	echo start-54 | git push --force origin main-54
inline	core.git	git-push-force	bash -c 'git push --force origin main-54'
simple	core.git	git-push-force	git push --force origin main-55
compound	core.git	git-push-force	echo start-55 && git push --force origin main-55
subshell	core.git	git-push-force	(git push --force origin main-55)
pipeline	core.git	git-push-force	echo start-55 | git push --force origin main-55
inline	core.git	git-push-force	bash -c 'git push --force origin main-55'
simple	core.git	git-push-force	git push --force origin main-56
compound	core.git	git-push-force	echo start-56 && git push --force origin main-56
subshell	core.git	git-push-force	(git push --force origin main-56)
pipeline	core.git	git-push-force	echo start-56 | git push --force origin main-56
inline	core.git	git-push-force	bash -c 'git push --force origin main-56'
simple	core.git	git-push-force	git push --force origin main-57
compound	core.git	git-push-force	echo start-57 && git push --force origin main-57
subshell	core.git	git-push-force	(git push --force origin main-57)
pipeline	core.git	git-push-force	echo start-57 | git push --force origin main-57
inline	core.git	git-push-force	bash -c 'git push --force origin main-57'
simple	core.git	git-push-force	git push --force origin main-58
compound	core.git	git-push-force	echo start-58 && git push --force origin main-58
subshell	core.git	git-push-force	(git push --force origin main-58)
pipeline	core.git	git-push-force	echo start-58 | git push --force origin main-58
inline	core.git	git-push-force	bash -c 'git push --force origin main-58'
simple	core.git	git-push-force	git push --force origin main-59
compound	core.git	git-push-force	echo start-59 && git push --force origin main-59
subshell	core.git	git-push-force	(git push --force origin main-59)
pipeline	core.git	git-push-force	echo start-59 | git push --force origin main-59
inline	core.git	git-push-force	bash -c 'git push --force origin main-59'
simple	core.git	git-push-force	git push --force origin main-60
compound	core.git	git-push-force	echo start-60 && git push --force origin main-60
subshell	core.git	git-push-force	(git push --force origin main-60)
pipeline	core.git	git-push-force	echo start-60 | git push --force origin main-60
inline	core.git	git-push-force	bash -c 'git push --force origin main-60'
simple	core.filesystem	rm-rf	rm -rf /tmp/fdp3-1
compound	core.filesystem	rm-rf	echo wipe-1 && rm -rf /tmp/fdp3-1
subshell	core.filesystem	rm-rf	(rm -rf /tmp/fdp3-1)
pipeline	core.filesystem	rm-rf	echo wipe-1 | rm -rf /tmp/fdp3-1
variable	core.filesystem	rm-rf	DIR=/tmp/fdp3-1; rm -rf 
simple	core.filesystem	rm-rf	rm -rf /tmp/fdp3-2
compound	core.filesystem	rm-rf	echo wipe-2 && rm -rf /tmp/fdp3-2
subshell	core.filesystem	rm-rf	(rm -rf /tmp/fdp3-2)
pipeline	core.filesystem	rm-rf	echo wipe-2 | rm -rf /tmp/fdp3-2
variable	core.filesystem	rm-rf	DIR=/tmp/fdp3-2; rm -rf 
simple	core.filesystem	rm-rf	rm -rf /tmp/fdp3-3
compound	core.filesystem	rm-rf	echo wipe-3 && rm -rf /tmp/fdp3-3
subshell	core.filesystem	rm-rf	(rm -rf /tmp/fdp3-3)
pipeline	core.filesystem	rm-rf	echo wipe-3 | rm -rf /tmp/fdp3-3
variable	core.filesystem	rm-rf	DIR=/tmp/fdp3-3; rm -rf 
simple	core.filesystem	rm-rf	rm -rf /tmp/fdp3-4
compound	core.filesystem	rm-rf	echo wipe-4 && rm -rf /tmp/fdp3-4
subshell	core.filesystem	rm-rf	(rm -rf /tmp/fdp3-4)
pipeline	core.filesystem	rm-rf	echo wipe-4 | rm -rf /tmp/fdp3-4
variable	core.filesystem	rm-rf	DIR=/tmp/fdp3-4; rm -rf 
simple	core.filesystem	rm-rf	rm -rf /tmp/fdp3-5
compound	core.filesystem	rm-rf	echo wipe-5 && rm -rf /tmp/fdp3-5
subshell	core.filesystem	rm-rf	(rm -rf /tmp/fdp3-5)
pipeline	core.filesystem	rm-rf	echo wipe-5 | rm -rf /tmp/fdp3-5
variable	core.filesystem	rm-rf	DIR=/tmp/fdp3-5; rm -rf 
simple	core.filesystem	rm-rf	rm -rf /tmp/fdp3-6
compound	core.filesystem	rm-rf	echo wipe-6 && rm -rf /tmp/fdp3-6
subshell	core.filesystem	rm-rf	(rm -rf /tmp/fdp3-6)
pipeline	core.filesystem	rm-rf	echo wipe-6 | rm -rf /tmp/fdp3-6
variable	core.filesystem	rm-rf	DIR=/tmp/fdp3-6; rm -rf 
simple	core.filesystem	rm-rf	rm -rf /tmp/fdp3-7
compound	core.filesystem	rm-rf	echo wipe-7 && rm -rf /tmp/fdp3-7
subshell	core.filesystem	rm-rf	(rm -rf /tmp/fdp3-7)
pipeline	core.filesystem	rm-rf	echo wipe-7 | rm -rf /tmp/fdp3-7
variable	core.filesystem	rm-rf	DIR=/tmp/fdp3-7; rm -rf 
simple	core.filesystem	rm-rf	rm -rf /tmp/fdp3-8
